sample          patient                lesion              time
311252-S        311252                 S                   -
311252-V        311252                 V                   -
311252-TC1      311252                 TC                  -
311252-TC2      311252                 TC                  -
311252-TP1      311252                 TP                  -
311252-TP2-2    311252                 TP                  -
313544-TP2      313544                 TP                  -
313544-TP1      313544                 TP                  -
313544-S        313544                 S                   -
313544-TC-2     313544                 TC                  -
313544-S1       313544                 S                   -
313935-S        313935                 S                   -
313935-TC1-2    313935                 TC                  -
313935-TP2-1    313935                 TP                  -
313935-TC       313935                 TC                  -
313935-TP       313935                 TP                  -
313953-S        313953                 S                   -
313953-TP       313953                 TP                  -
313953-TC-2     313953                 TC                  -
314007-TP3      314007                 TP                  -
314007-V        314007                 V                   -
314007-TC1      314007                 TC                  -
314007-TP2-2    314007                 TP                  -
314007-TP1      314007                 TP                  -
314069-S        314069                 S                   -
314069-TP2      314069                 TP                  -
314069-TP1      314069                 TP                  -
314069-TC-2     314069                 TC                  -
314155-TP1-1    314155                 TP                  -
314155-TC2      314155                 TC                  -
314155-TC1      314155                 TC                  -
314155-TP2-1    314155                 TP                  -
314155-V        314155                 V                   -
